"Id Empenho";"Código Empenho";"Sequencial";"Tipo Operação";"Data Operação";"Quantidade Item";"Valor Unitário Item";"Valor Total Item"
"565069720";"170177000012025NE000425";"2";"INCLUSAO";"22/09/2025";"0,00293";"682,59390";"2,00000"
"565069720";"170177000012025NE000425";"3";"INCLUSAO";"22/09/2025";"0,67740";"4904,32540";"3322,19000"
"565069720";"170177000012025NE000425";"4";"INCLUSAO";"22/09/2025";"0,00587";"340,71550";"2,00000"
"565069720";"170177000012025NE000425";"5";"INCLUSAO";"22/09/2025";"0,00587";"340,71550";"2,00000"
"565069720";"170177000012025NE000425";"6";"INCLUSAO";"22/09/2025";"0,69281";"9152,55260";"6340,98000"
"565081221";"170177000012025NE000424";"1";"INCLUSAO";"22/09/2025";"0,69017";"6454,49670";"4454,70000"
"565081221";"170177000012025NE000424";"2";"INCLUSAO";"22/09/2025";"0,71332";"5240,01850";"3737,81000"
"565081221";"170177000012025NE000424";"3";"INCLUSAO";"22/09/2025";"1,49086";"11431,10690";"17042,18000"
"565081221";"170177000012025NE000424";"4";"INCLUSAO";"22/09/2025";"0,71183";"5672,39370";"4037,78000"
"565096679";"170177000012025NE000423";"1";"INCLUSAO";"22/09/2025";"0,70416";"8662,36370";"6099,69000"
"565096679";"170177000012025NE000423";"2";"INCLUSAO";"22/09/2025";"0,70032";"8289,16780";"5805,07000"
"565096679";"170177000012025NE000423";"3";"INCLUSAO";"22/09/2025";"0,68848";"6461,97420";"4448,94000"
